16:23:33.383 [main] INFO  c.m.w.server.util.ServletContext - Servlet com.miskevich.webserver.data.servlet.IndexServlet@78a773fd was registered by path /index/all
16:23:59.293 [pool-1-thread-1] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/index/all', method=GET, headers={Accept= text/html,application/xhtml+xml,application/xml;q=0.9,image/webp,*/*;q=0.8, Upgrade-Insecure-Requests= 1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:23:59.784 [pool-1-thread-1] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for servlet were generated
16:23:59.834 [pool-1-thread-2] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/styles/bootstrap.min.css', method=GET, headers={Accept= text/css,*/*;q=0.1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:23:59.870 [pool-1-thread-3] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/styles/styles.css', method=GET, headers={Accept= text/css,*/*;q=0.1, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:23:59.902 [pool-1-thread-3] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:23:59.903 [pool-1-thread-2] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:23:59.940 [pool-1-thread-1] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/3.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:23:59.941 [pool-1-thread-1] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
16:23:59.942 [pool-1-thread-3] INFO  c.m.w.server.util.RequestParser - Parsed request StaticRequest{url='/pic/4.jpg', method=GET, headers={Accept= image/webp,image/*,*/*;q=0.8, Connection= keep-alive, User-Agent= Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36, Referer= http, Host= localhost, Accept-Encoding= gzip, deflate, sdch, br, Accept-Language= ru-RU,ru;q=0.8,en-US;q=0.6,en;q=0.4}}
16:23:59.943 [pool-1-thread-3] INFO  c.m.w.s.util.ResponseHeaderGenerator - Headers for static resource were generated
